x0 x1(lambda1) x2(lambda2) x3(mu1) x4(mu2) x1x2 x1x3 x1x4 x2x3 x2x4 x3x4 x1x2x3 x1x2x4 x1x3x4 x2x3x4 x1x2x3x4 t1 t1^ t1чн^ |t1-t1^| |t1-t1^чн| (t1-t1^)^2 (t1-t1чн^)^2 t2 t2^ t2^_чн |t2-t2^| |t2-t2чн^| (t2-t2^)^2 (t2-t2чн^)^2
1.0 -1.0 -1.0 -1.0 -1.0 1.0 1.0 1.0 1.0 1.0 1.0 -1.0 -1.0 -1.0 -1.0 1.0 0.515428 0.521757 0.515428 0.006329 0.0 4e-05 0.0 0.914275 0.949127 0.914275 0.034852 0.0 0.001215 0.0
1.0 -1.0 -1.0 -1.0 1.0 1.0 1.0 -1.0 1.0 -1.0 -1.0 -1.0 1.0 1.0 1.0 -1.0 0.531602 0.515736 0.531602 0.015866 0.0 0.000252 0.0 0.942219 0.920873 0.942219 0.021346 0.0 0.000456 0.0
1.0 -1.0 -1.0 1.0 -1.0 1.0 -1.0 1.0 -1.0 1.0 -1.0 1.0 -1.0 1.0 1.0 -1.0 0.456857 0.456938 0.456857 8.2e-05 0.0 0.0 0.0 0.763583 0.772474 0.763583 0.008891 0.0 7.9e-05 0.0
1.0 -1.0 -1.0 1.0 1.0 1.0 -1.0 -1.0 -1.0 -1.0 1.0 1.0 1.0 -1.0 -1.0 1.0 0.440216 0.450917 0.440216 0.010702 0.0 0.000115 0.0 0.756031 0.74422 0.756031 0.011811 0.0 0.000139 0.0
1.0 -1.0 1.0 -1.0 -1.0 -1.0 1.0 1.0 -1.0 -1.0 1.0 1.0 1.0 -1.0 1.0 -1.0 0.510004 0.513769 0.510004 0.003765 0.0 1.4e-05 0.0 0.930396 0.947813 0.930396 0.017417 0.0 0.000303 0.0
1.0 -1.0 1.0 -1.0 1.0 -1.0 1.0 -1.0 -1.0 1.0 -1.0 1.0 -1.0 1.0 -1.0 1.0 0.514297 0.507748 0.514297 0.006549 0.0 4.3e-05 0.0 0.907662 0.919559 0.907662 0.011897 0.0 0.000142 0.0
1.0 -1.0 1.0 1.0 -1.0 -1.0 -1.0 1.0 1.0 -1.0 -1.0 -1.0 1.0 1.0 -1.0 1.0 0.442432 0.44895 0.442432 0.006518 0.0 4.2e-05 0.0 0.79027 0.77116 0.79027 0.01911 0.0 0.000365 0.0
1.0 -1.0 1.0 1.0 1.0 -1.0 -1.0 -1.0 1.0 1.0 1.0 -1.0 -1.0 -1.0 1.0 -1.0 0.44791 0.442929 0.44791 0.004981 0.0 2.5e-05 0.0 0.763697 0.742906 0.763697 0.020791 0.0 0.000432 0.0
1.0 1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 1.0 1.0 1.0 1.0 1.0 1.0 -1.0 -1.0 0.604192 0.600955 0.604192 0.003237 0.0 1e-05 0.0 1.266042 1.238033 1.266042 0.028009 0.0 0.000785 0.0
1.0 1.0 -1.0 -1.0 1.0 -1.0 -1.0 1.0 1.0 -1.0 -1.0 1.0 -1.0 -1.0 1.0 1.0 0.579225 0.594934 0.579225 0.01571 0.0 0.000247 0.0 1.192993 1.209779 1.192993 0.016785 0.0 0.000282 0.0
1.0 1.0 -1.0 1.0 -1.0 -1.0 1.0 -1.0 -1.0 1.0 -1.0 -1.0 1.0 -1.0 1.0 1.0 0.540884 0.536136 0.540884 0.004748 0.0 2.3e-05 0.0 1.040449 1.06138 1.040449 0.020932 0.0 0.000438 0.0
1.0 1.0 -1.0 1.0 1.0 -1.0 1.0 1.0 -1.0 -1.0 1.0 -1.0 -1.0 1.0 -1.0 -1.0 0.539086 0.530115 0.539086 0.008971 0.0 8e-05 0.0 1.05342 1.033126 1.05342 0.020294 0.0 0.000412 0.0
1.0 1.0 1.0 -1.0 -1.0 1.0 -1.0 -1.0 -1.0 -1.0 1.0 -1.0 -1.0 1.0 1.0 1.0 0.596386 0.592967 0.596386 0.003419 0.0 1.2e-05 0.0 1.284946 1.236719 1.284946 0.048227 0.0 0.002326 0.0
1.0 1.0 1.0 -1.0 1.0 1.0 -1.0 1.0 -1.0 1.0 -1.0 -1.0 1.0 -1.0 -1.0 -1.0 0.583679 0.586946 0.583679 0.003267 0.0 1.1e-05 0.0 1.191835 1.208465 1.191835 0.01663 0.0 0.000277 0.0
1.0 1.0 1.0 1.0 -1.0 1.0 1.0 -1.0 1.0 -1.0 -1.0 1.0 -1.0 -1.0 -1.0 -1.0 0.533438 0.528148 0.533438 0.00529 0.0 2.8e-05 0.0 1.046813 1.060066 1.046813 0.013254 0.0 0.000176 0.0
1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.515439 0.522127 0.515439 0.006688 0.0 4.5e-05 0.0 1.002882 1.031812 1.002882 0.02893 0.0 0.000837 0.0
